°üÃøÀÏ½Ã,°¡¹³(MSWSI),°¡¹³(SPI6),Æò±Õ Àú¼öÀ²,Æò±Õ ¿ë¼ö°ø±Þ·®,Æò±Õ °­¿ì·®,Æò±Õ±â¿Â,Æò±Õ À¯ÀÔ·®-“‡·ù·®
2013-01-05,0,0,53.92,0.693466667,0.137613333,-9.466666667,-0.486933334
2013-01-12,-0.5,0,51.01428571,0.721,0,-6.942857143,-0.558
2013-01-19,0,0,48.35714286,0.722285714,0,-4.957142857,-0.524142857
2013-01-26,0,0,45.98571429,0.722571429,3.638271429,-4.571428571,-0.523428572
2013-02-02,0.5,0,43.67142857,0.718285714,2.076014286,-0.828571429,-0.222714285
2013-02-09,0,1,44.37142857,0.610285714,1.276542857,-5.642857143,0.115857143
2013-02-16,0,0,43.85714286,0.622428571,0,-4.628571429,-0.216714285
2013-02-23,-0.5,0,42.51428571,0.642571429,0.066842857,-3.414285714,-0.320857143
2013-03-02,-0.5,0,41.02857143,0.655428571,0.142857143,0.828571429,-0.198428571
2013-03-09,-0.5,0,41.42857143,0.578285714,0.076014286,5.414285714,0.372
2013-03-16,1,0,48.48571429,0.571285714,3.2097,3.828571429,2.156
2013-03-23,1,0,59.31428571,0.573142857,4.5806,4.614285714,2.281857143
2013-03-30,0,0,65.78571429,0.560714286,0.857142857,3.757142857,0.907714285
2013-04-06,0,0,69.72857143,0.554142857,3.428571429,6.371428571,0.916142857
2013-04-13,0,0,73.34285714,0.547,0.2097,3.771428571,0.305857143
2013-04-20,0,0,73.11428571,0.423142857,3.553085714,5.9,0.001857143
2013-04-27,0,0,73.14285714,0.535857143,1.504585714,8.214285714,0.018142857
2013-05-04,0,0,73.08571429,0.524285714,1.808642857,9.342857143,-0.034714285
2013-05-11,-0.5,0,72.78571429,0.532285714,0.933157143,15.58571429,-0.081
2013-05-18,-0.5,0,72.22857143,0.544571429,0.285714286,15.74285714,-0.150428571
2013-05-25,0,0,72.8,0.533857143,4.456085714,16.92857143,0.115714286
2013-06-01,0,0,72.6,0.512,3.781128571,18.15714286,-0.006714286
2013-06-08,0,0,72.04285714,0.518,0.228042857,17.6,-0.166857143
2013-06-15,-0.5,0,71.14285714,0.512714286,0.875485714,18.44285714,-0.214571429
2013-06-22,0,0,72.12857143,0.513285714,11.42592857,20.48571429,0.489571429
2013-06-29,-0.5,0,72.45714286,0.533142857,1.905642857,19.52857143,-0.163571428
2013-07-06,-0.5,0,71.95714286,0.530428571,3.170371429,22.28571429,-0.084285714
2013-07-13,-0.5,0,71.28571429,0.540571429,3.173014286,24.25714286,-0.165142858
2013-07-20,0,0,68.22857143,0.576,32.94108571,23.02857143,0.24971429
2013-07-27,0,0,71.41428571,0.593714286,7.6291,23.84285714,-0.823142857
2013-08-03,0,0,70.17142857,0.619857143,1.218871429,23.71428571,0.540571428
2013-08-10,-0.5,0,70.72857143,0.620285714,0.3709,26.37142857,-0.115714285
2013-08-17,-1,0,69.25714286,0.635571429,0,25.9,-0.375142858
2013-08-24,-1,0,67.1,0.619,4.249028571,23.67142857,-0.28
2013-08-31,-1,0,65.75714286,0.603142857,2.836157143,20.85714286,-0.349571428
2013-09-07,-1,-1,64.18571429,0.575142857,0.714285714,16.02857143,-0.355714286
2013-09-14,-1,-1,62.5,0.583714286,5.665785714,18.75714286,-0.184428572
2013-09-21,-1,-1,61.77142857,0.572857143,0,17.7,-0.285857143
2013-09-28,-0.5,-1,60.78571429,0.573857143,3.896471429,14.7,-0.132428572
